TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
CS_03VV7202_7203_DP_SP_TL,2169.421842.TL12,CS_03VV7202_DP_SP,421842.AV14.Present_Value,2020-04-13 10:32:51,48.0,0,Pa
CS_03VV7202_7203_DMP_VRTL_POS_TL,2169.421842.TL13,CS_03VV7202_DMP_VRTL_POS,421842.AV15.Present_Value,2020-04-13 10:32:52,38.0,90000,%
CS_03VV7202_7203_OAT_AV_TL,2169.421842.TL14,CS_03VV7202_OAT_AV,421842.AV17.Present_Value,2020-04-13 10:32:54,46.0,90000,°C
CS_03VV7203_RTS_SP_TL,2169.421842.TL15,CS_03VV7203_RTS_SP,421842.AV18.Present_Value,2020-04-13 10:33:17,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421842.TL16,SYSTEME_ST_BV,421842.BV1.Present_Value,2020-04-13 10:33:12,81.0,0,Units not found
CS_02VVTSH7202_TL,2169.421842.TL20,CS_02VVTSH7202,421842.AI103.Present_Value,2020-04-13 10:32:53,82.0,90000,%RH
CS_02VVTCO2_7202_TL,2169.421842.TL21,CS_02VVTCO2_7202,421842.AI104.Present_Value,2020-04-13 10:32:54,84.0,90000,ppm
CS_02VVTSH7203_TL,2169.421842.TL22,CS_02VVTSH7203,421842.AI203.Present_Value,2020-04-13 10:32:49,82.0,90000,%RH
CS_02VVTCO2_7203_TL,2169.421842.TL23,CS_03VVCO27203,421842.AI204.Present_Value,2020-04-13 10:32:50,21.0,90000,ppm
CS_RM7202_KeyPress,2169.421842.TL24,trend_log_input_ref not found,421842.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_AHU2_RM7202_MD_TL,2169.421842.TL25,CS_AHU2_RM7202_MD,421842.BI105.Present_Value,2020-04-13 10:33:14,85.0,0,Units not found
CS_AHU2_RM7203_MD_TL,2169.421842.TL26,CS_AHU2_RM7203_MD,421842.BI205.Present_Value,2020-04-13 10:33:15,85.0,0,Units not found
CS_RM7203_KeyPress,2169.421842.TL27,trend_log_input_ref not found,421842.LCD201.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_03VVRRP7204_TL,2169.421843.TL1,CS_03VVRRP7204,421843.AO3.Present_Value,2020-04-13 10:34:23,82.0,90000,%
CS_03VVRRP7205_TL,2169.421843.TL2,CS_03VVRRP7205,421843.AO4.Present_Value,2020-04-13 10:34:25,82.0,90000,%
CS_03VVCDMOP7204_7205_TL,2169.421843.TL3,CS_03VVCDMOP7204,421843.BO5.Present_Value,2020-04-13 10:34:45,67.0,90000,Units not found
CS_03VVCDMCL7204_7205_TL,2169.421843.TL4,CS_03VVCDMCL7204,421843.BO6.Present_Value,2020-04-13 10:34:46,67.0,90000,Units not found
