,tSa,tRa,tOa,pSa,sOa,sHc,sCc,sFan,tSaSp,pSaSp
2019-01-08 10:00,18.02039957,21.57479175,-2.468913356,289.1619873,59.99089813,0,0,59.73792267,18,300
2019-01-08 11:00,18.0312252,21.53909143,-0.224149326,289.1619873,59.99089813,0,0,59.73792267,18,300
2019-01-08 12:00,18.00795031,21.5390501,1.091753999,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 13:00,18.015625,21.56221676,1.123892506,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 14:00,17.96764994,21.56572517,1.486838341,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 15:00,18.00212526,21.56512515,1.76425,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 16:00,18.00672531,21.60887496,1.337808331,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 17:00,17.96155024,21.62270832,1.733333309,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 18:00,17.97872496,21.59260845,1.548608323,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 19:00,17.98772478,21.56567494,1.393791676,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 20:00,17.9770999,21.52296638,1.58638833,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 21:00,17.97787523,21.50801659,1.268514643,289.1619873,65.02230072,0,0,59.73792267,18,300
2019-01-08 22:00,17.99640036,21.64636676,1.166415006,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-08 23:00,18.05744982,21.72101688,0.937018325,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 0:00,17.97087526,21.72412491,1.125754813,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 1:00,18.01110029,21.697625,1.452015003,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 2:00,18.03352499,21.6962835,1.887431681,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 3:00,17.96237516,21.6869998,1.770698349,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 4:00,17.97407532,21.70141649,1.93162336,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 5:00,18.00272512,21.71660837,1.978316685,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 6:00,18.01092529,21.75093333,2.089449962,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 7:00,18.01242495,21.74373325,2.006721636,289.1619873,70.03019714,0,0,59.73792267,18,300
2019-01-09 8:00,18.02562523,21.49283298,2.001536667,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 9:00,18.00247526,21.49034166,2.0455483,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 10:00,18.00499964,21.56899182,2.208946665,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 11:00,18.0387249,21.58602476,2.709069967,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 12:00,17.98077536,21.63841677,2.747996648,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 13:00,17.97464991,21.63953336,2.850799998,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 14:00,18.00382471,21.64647516,2.014431695,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 15:00,18.03420019,21.6370923,1.288556317,289.1619873,65.02410126,0,0,59.73792267,18,300
2019-01-09 16:00,17.9480505,21.61571547,0.822777847,289.1619873,60.01250076,0,0,59.73792267,18,300
2019-01-09 17:00,18.01192522,21.58266933,0.355797499,289.1619873,60.01250076,0,0,59.73792267,18,300
2019-01-09 18:00,18.01205015,21.62599989,0.059421464,289.1619873,60.01250076,0,0,59.73792267,18,300
2019-01-09 19:00,18.0173502,21.55713081,-0.262306334,289.1619873,60.01250076,0,0,59.73792267,18,300
2019-01-09 20:00,17.95235014,21.50943844,-0.208267832,289.1619873,57.51920128,0,0,59.73792267,18,300
2019-01-09 21:00,18.031775,21.49987705,-0.123160899,289.1619873,60.04560089,0,0,59.73792267,18,300
2019-01-09 22:00,17.97417498,21.64886152,-0.40884017,289.1619873,65.0515976,0,0,59.73792267,18,300
2019-01-09 23:00,18.08074999,21.69523841,-1.079734842,289.1619873,65.0515976,0,0,54.73487091,18,300
2019-01-10 0:00,17.97302485,21.71806922,-1.48875167,289.1619873,60.01800156,0,0,54.73487091,18,300
2019-01-10 1:00,18.05615044,21.7336772,-1.999828319,289.1619873,57.50684929,0,0,54.73487091,18,300
2019-01-10 2:00,17.97017527,21.68101531,-2.917326689,289.1619873,54.95932579,0,0,54.73487091,18,300
2019-01-10 3:00,18.03927517,21.6576921,-3.916575034,289.1619873,55.67841394,0,0,54.73487091,18,300
2019-01-10 4:00,17.94880009,21.64474605,-4.466150045,289.1619873,57.48936653,0,0,54.73487091,18,300
2019-01-10 5:00,18.06637526,21.65670762,-5.407440106,289.1619873,54.14530055,0,0,54.73487091,18,300
2019-01-10 6:00,18.05754995,21.68834628,-5.901970069,289.1619873,54.07206599,0,0,54.73487091,18,300
2019-01-10 7:00,17.99412489,21.76489228,-6.337426662,289.1619873,49.88460159,0,0,54.73487091,18,300
2019-01-10 8:00,17.95782471,21.59175374,-6.570486705,289.1619873,44.87720108,0,0,54.73487091,18,300
2019-01-10 9:00,17.90467501,21.56879997,-6.897680044,289.1619873,42.36612415,0,0,59.78276062,18,300
2019-01-10 10:00,17.97924995,21.66016153,-6.804218372,289.1619873,47.38030052,0,0,59.78276062,18,300
2019-01-10 11:00,18.03367519,21.71503859,-6.836663246,289.1619873,47.39259911,0,0,59.78276062,18,300
2019-01-10 12:00,18.03527498,21.71037703,-6.262984991,289.1619873,49.88570023,0,0,59.78276062,18,300
2019-01-10 13:00,18.08197451,21.6957999,-6.349388282,289.1619873,49.88570023,0,0,59.78276062,18,300
2019-01-10 14:00,17.91472483,21.70606921,-6.294216712,289.1619873,52.37462425,0,0,64.79769897,18,300
2019-01-10 15:00,17.91667461,21.65257674,-7.079305013,289.1619873,52.24757481,0,0,64.79769897,17.9743692,300
2019-01-10 16:00,18.05140018,21.72284596,-8.069743315,289.1619873,44.72919846,0,0,64.79769897,18,300
2019-01-10 17:00,17.96375036,21.68178456,-9.115000089,289.1619873,37.15310097,0,0,64.79769897,18,300
2019-01-10 18:00,17.98234987,21.62973096,-10.09952656,289.1619873,34.64590073,0,0,64.79769897,18,300
2019-01-10 19:00,18.01922512,21.60030761,-10.50436672,289.1619873,37.15605164,0,0,59.77244186,18,300
2019-01-10 20:00,18.01460028,21.59393061,-10.88621648,289.1619873,39.6534996,0,0,59.77244186,18,300
2019-01-10 21:00,18.01979971,21.58853839,-11.10553344,289.1619873,39.64250056,0,0,59.77244186,18,300
2019-01-10 22:00,17.91499996,21.73620752,-11.74739997,289.1619873,39.61330032,0,0,59.77244186,18,300
2019-01-10 23:00,18.0156002,21.78149253,-12.16438341,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 0:00,18.03092527,21.74984624,-13.61429993,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 1:00,18.07992506,21.68998454,-14.65936661,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 2:00,18.14575005,21.630031,-15.69980001,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 3:00,17.96029997,21.60440005,-16.34328302,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 4:00,17.91692495,21.62463863,-17.11250019,289.1619873,44.64300156,0,0,59.77244186,18,300
2019-01-11 5:00,17.94937515,21.60821548,-17.93549983,289.1619873,42.08639908,0,0,59.77244186,18,300
2019-01-11 6:00,18.07579994,21.6223771,-18.58606656,289.1619873,47.15065002,0,0,54.76409912,18,300
2019-01-11 7:00,17.97902489,21.62073869,-18.87596671,289.1619873,39.62720108,0,0,54.76409912,18,300
2019-01-11 8:00,17.96594954,21.50602311,-18.2617836,289.1619873,34.59370041,0,0,54.76409912,18,300
2019-01-11 9:00,17.9932003,21.55256917,-16.7252833,289.1619873,32.08914948,0,0,59.77293015,18,300
2019-01-11 10:00,17.9822998,21.62423853,-16.10290035,289.1619873,29.57449913,0,0,59.77293015,18,300
